SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
20101100101,6,0,6,5,5,8,0,4,3,37,97,61,38,41,63,42,53,27,11,433
20101100102,0,0,0,5,0,0,0,0,4,9,36,14,15,25,18,30,28,15,5,186
20101100105,3,5,0,3,5,3,0,5,0,24,47,101,44,52,40,41,30,14,11,380
20101100106,15,5,11,9,8,4,0,0,0,52,123,76,49,76,78,88,53,33,12,588
20101100107,3,5,4,3,10,0,0,0,7,32,41,42,49,34,56,45,36,38,14,355
20101100108,13,7,5,5,6,5,8,0,0,49,199,108,87,110,104,73,63,34,12,790
20101100109,17,12,12,7,5,3,0,0,0,56,104,55,73,65,72,50,47,43,13,522
20101100110,3,3,0,0,9,6,3,0,8,32,95,94,20,43,90,79,59,24,9,513
20101100111,14,0,3,3,6,0,0,0,0,26,82,49,28,37,64,54,33,10,10,367
20101100112,0,0,0,3,3,5,6,0,0,17,85,39,30,48,50,67,74,19,11,423
20101100113,0,0,0,3,6,0,0,0,0,9,59,54,16,32,65,47,39,19,6,337
20101100114,11,8,4,5,6,0,5,0,0,39,102,77,60,61,64,52,62,46,11,535
20101100118,3,3,0,0,4,0,0,5,0,15,70,43,22,46,62,29,24,19,0,315
20101100119,12,12,3,8,11,0,0,0,0,46,199,131,64,112,144,83,37,18,0,788
20101100120,16,14,3,4,10,0,0,0,0,47,194,97,76,114,65,44,35,17,3,645
20101100121,14,8,6,3,9,9,0,0,0,49,178,109,53,107,89,76,46,34,4,696
20101100124,8,7,0,3,4,5,0,6,0,33,115,90,12,66,85,50,28,22,5,473
20101100125,11,10,6,8,7,0,0,3,0,45,159,84,51,90,81,65,47,9,4,590
20101100126,5,0,4,9,8,6,3,5,0,40,113,69,40,75,98,106,99,50,11,661
20101100127,9,7,11,6,3,0,0,0,0,36,153,93,133,95,53,41,25,6,0,599
20101100128,0,3,0,3,0,0,0,0,0,6,101,48,55,52,43,22,28,28,4,381
20101100129,15,3,6,0,0,5,0,4,0,33,146,67,92,81,59,23,32,15,0,515
20101100130,7,0,3,4,3,0,0,0,0,17,107,45,64,65,28,25,14,0,0,348
20101100131,8,4,0,3,6,0,0,0,0,21,86,43,49,72,34,35,43,17,0,379
